paths,target,contrast,energy,homogeneity,correlation,dissimilarity
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1-rotated1.jpg,fracture,62.07496782,0.181371784,0.573961802,0.98168034,2.942446911
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1-rotated2.jpg,fracture,61.69194418,0.183657832,0.568558039,0.982458158,3.062721203
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1-rotated3.jpg,fracture,60.96531129,0.189449092,0.573245384,0.983152236,3.12932352
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1.jpg,fracture,127.8333534,0.172960711,0.573006359,0.959753411,3.410452864
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2-rotated1.jpg,fracture,72.36458333,0.173927253,0.587243471,0.977612099,2.724903475
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2-rotated2.jpg,fracture,111.9011221,0.162174344,0.563922875,0.96190737,3.226773649
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2-rotated3.jpg,fracture,67.4606258,0.196758477,0.579243139,0.982438639,3.169522201
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2.jpg,fracture,69.67125161,0.177472894,0.567971086,0.979169613,3.082006113
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3-rotated1.jpg,fracture,88.97663288,0.202082821,0.571928394,0.97653977,3.65789897
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3-rotated2.jpg,fracture,110.2756797,0.196490387,0.591807772,0.970825769,3.382380148
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3-rotated3.jpg,fracture,109.5738417,0.200217105,0.597210059,0.971057325,3.32911036
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3.jpg,fracture,74.16465573,0.201484569,0.569544779,0.980570958,3.691200129
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1.jpg,fracture,88.13728684,0.168810032,0.561019897,0.966401977,3.204814189
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated1-rotated2.jpg,fracture,88.34141731,0.174000205,0.572955851,0.971663441,3.055984556
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated1-rotated3.jpg,fracture,61.75347893,0.186135242,0.571928375,0.982784472,3.110541345
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated2-rotated1.jpg,fracture,70.27694659,0.200719281,0.582947571,0.98205983,3.250040219
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated2-rotated2.jpg,fracture,70.26389559,0.192734873,0.584052681,0.981311303,3.003680019
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated2-rotated3.jpg,fracture,123.0925233,0.175800217,0.577360187,0.963972556,3.290842181
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated2.jpg,fracture,85.76492117,0.175534405,0.581717807,0.97411055,2.952099421
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated3-rotated1.jpg,fracture,71.76522281,0.191716918,0.569959563,0.980378252,3.400679698
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated3-rotated2.jpg,fracture,68.76783703,0.205280907,0.566069155,0.982460292,3.748491795
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated3-rotated3.jpg,fracture,60.42800837,0.196215192,0.570135302,0.983837803,3.309403153
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated1-rotated1.jpg,fracture,58.42054778,0.172694058,0.564034248,0.98122793,2.948821589
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated1-rotated2.jpg,fracture,58.63823198,0.181125885,0.561554315,0.98281253,3.160312098
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated1-rotated3.jpg,fracture,116.9712033,0.164764178,0.572010106,0.958987328,3.211027992
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated2-rotated1.jpg,fracture,70.78444739,0.172160872,0.598735611,0.978480605,2.658602799
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated2.jpg,fracture,122.9963602,0.179380188,0.57934966,0.964139212,3.441099582
